Date;Country;RegionName;HospitalizedPatients;IntensiveCarePatients;TotalHospitalizedPatients;HomeConfinement;CurrentPositiveCases;NewPositiveCases;Recovered;Deaths;TotalPositiveCases
06/03/2020 17:00;ITA;Umbria;2;2;4;12;16;7;0;0;16
06/03/2020 17:00;ITA;Valle d'Aosta;0;0;0;7;7;5;0;0;7
06/03/2020 17:00;ITA;Veneto;117;27;144;310;454;81;22;12;488
06/03/2020 17:00;ITA;Trentino Alto Adige;8;0;8;6;14;6;0;0;14
07/03/2020 18:00;ITA;Abruzzo;11;0;11;0;11;2;0;0;11
07/03/2020 18:00;ITA;Basilicata;1;0;1;2;3;0;0;0;3
07/03/2020 18:00;ITA;Calabria;2;0;2;2;4;0;0;0;4
07/03/2020 18:00;ITA;Campania;16;0;16;45;61;4;0;0;61
07/03/2020 18:00;ITA;Emilia-Romagna;464;64;528;409;937;140;25;48;1010
07/03/2020 18:00;ITA;Friuli Venezia Giulia;7;1;8;31;39;11;3;0;42
07/03/2020 18:00;ITA;Lazio;43;8;51;21;72;22;3;1;76
07/03/2020 18:00;ITA;Liguria;26;6;32;10;42;19;5;4;51
07/03/2020 18:00;ITA;Lombardia;1661;359;2020;722;2742;808;524;154;3420
07/03/2020 18:00;ITA;Marche;94;36;130;71;201;48;0;6;207
07/03/2020 18:00;ITA;Molise;3;2;5;9;14;2;0;0;14
07/03/2020 18:00;ITA;Piemonte;110;38;148;54;202;64;0;5;207
07/03/2020 18:00;ITA;Puglia;9;2;11;12;23;9;1;2;26
07/03/2020 18:00;ITA;Sardegna;2;0;2;3;5;0;0;0;5
07/03/2020 18:00;ITA;Sicilia;8;0;8;25;33;11;2;0;35
07/03/2020 18:00;ITA;Toscana;54;7;61;51;112;34;1;0;113
07/03/2020 18:00;ITA;Umbria;2;2;4;20;24;8;0;0;24
07/03/2020 18:00;ITA;Valle d'Aosta;1;0;1;7;8;1;0;0;8
07/03/2020 18:00;ITA;Veneto;123;41;164;341;505;55;25;13;543
07/03/2020 18:00;ITA;Trentino Alto Adige;14;1;15;8;23;9;0;0;23
08/03/2020 18:00;ITA;Abruzzo;14;0;14;3;17;6;0;0;17
08/03/2020 18:00;ITA;Basilicata;2;0;2;2;4;1;0;0;4
08/03/2020 18:00;ITA;Calabria;5;0;5;4;9;5;0;0;9
08/03/2020 18:00;ITA;Campania;30;7;37;63;100;40;1;0;101
08/03/2020 18:00;ITA;Emilia-Romagna;542;75;617;480;1097;170;27;56;1180
08/03/2020 18:00;ITA;Friuli Venezia Giulia;7;1;8;45;53;15;3;1;57
08/03/2020 18:00;ITA;Lazio;47;8;55;26;81;11;3;3;87
08/03/2020 18:00;ITA;Liguria;39;11;50;17;67;27;5;6;78
08/03/2020 18:00;ITA;Lombardia;2217;399;2616;756;3372;769;550;267;4189
08/03/2020 18:00;ITA;Marche;110;41;151;114;265;65;0;7;272
08/03/2020 18:00;ITA;Molise;4;2;6;8;14;0;0;0;14
08/03/2020 18:00;ITA;Piemonte;245;45;290;65;355;153;0;5;360
08/03/2020 18:00;ITA;Puglia;17;3;20;16;36;14;1;3;40
08/03/2020 18:00;ITA;Sardegna;5;0;5;6;11;6;0;0;11
08/03/2020 18:00;ITA;Sicilia;18;0;18;33;51;18;2;0;53
08/03/2020 18:00;ITA;Toscana;91;7;98;67;165;53;1;0;166
08/03/2020 18:00;ITA;Umbria;2;2;4;22;26;2;0;0;26
08/03/2020 18:00;ITA;Valle d'Aosta;1;0;1;8;9;1;0;0;9
08/03/2020 18:00;ITA;Veneto;146;47;193;430;623;127;29;18;670
08/03/2020 18:00;ITA;Trentino Alto Adige;15;2;17;15;32;9;0;0;32
09/03/2020 18:00;ITA;Abruzzo;25;0;25;5;30;13;0;0;30
09/03/2020 18:00;ITA;Basilicata;2;0;2;3;5;1;0;0;5
09/03/2020 18:00;ITA;Calabria;8;0;8;1;9;2;2;0;11
09/03/2020 18:00;ITA;Campania;42;8;50;69;119;19;1;0;120
09/03/2020 18:00;ITA;Emilia-Romagna;576;90;666;620;1286;206;30;70;1386
09/03/2020 18:00;ITA;Friuli Venezia Giulia;18;1;19;70;89;36;3;1;93
09/03/2020 18:00;ITA;Lazio;55;8;63;31;94;15;3;5;102
09/03/2020 18:00;ITA;Liguria;60;17;77;20;97;31;5;7;109
09/03/2020 18:00;ITA;Lombardia;2802;440;3242;1248;4490;1280;646;333;5469
09/03/2020 18:00;ITA;Marche;136;47;183;130;313;51;0;10;323
09/03/2020 18:00;ITA;Molise;4;2;6;8;14;0;0;0;14
09/03/2020 18:00;ITA;Piemonte;222;50;272;65;337;-10;0;13;350
09/03/2020 18:00;ITA;Puglia;20;6;26;20;46;10;1;3;50
09/03/2020 18:00;ITA;Sardegna;8;0;8;11;19;8;0;0;19
09/03/2020 18:00;ITA;Sicilia;19;0;19;33;52;1;2;0;54
09/03/2020 18:00;ITA;Toscana;107;9;116;90;206;42;1;1;208
09/03/2020 18:00;ITA;Umbria;4;2;6;22;28;2;0;0;28
09/03/2020 18:00;ITA;Valle d'Aosta;4;0;4;11;15;6;0;0;15
09/03/2020 18:00;ITA;Veneto;186;51;237;457;694;74;30;20;744
09/03/2020 18:00;ITA;Trentino Alto Adige;18;2;20;22;42;10;0;0;42
10/03/2020 18:00;ITA;Abruzzo;17;9;26;11;37;8;0;1;38
10/03/2020 18:00;ITA;Basilicata;2;0;2;5;7;2;0;0;7
10/03/2020 18:00;ITA;Calabria;8;2;10;1;11;2;2;0;13
10/03/2020 18:00;ITA;Campania;33;8;41;85;126;7;1;0;127
10/03/2020 18:00;ITA;Emilia-Romagna;669;98;767;650;1417;147;31;85;1533
10/03/2020 18:00;ITA;Friuli Venezia Giulia;27;6;33;77;110;23;3;3;116
10/03/2020 18:00;ITA;Lazio;50;15;65;34;99;14;11;6;116
10/03/2020 18:00;ITA;Liguria;57;29;86;42;128;32;5;8;141
10/03/2020 18:00;ITA;Lombardia;3319;466;3785;642;4427;322;896;468;5791
10/03/2020 18:00;ITA;Marche;152;54;206;175;381;71;0;13;394
10/03/2020 18:00;ITA;Molise;3;3;6;9;15;1;0;0;15
10/03/2020 18:00;ITA;Piemonte;306;66;372;64;436;103;0;17;453
10/03/2020 18:00;ITA;Puglia;28;6;34;21;55;9;1;3;59
10/03/2020 18:00;ITA;Sardegna;9;0;9;11;20;1;0;0;20
10/03/2020 18:00;ITA;Sicilia;17;2;19;41;60;8;2;0;62
10/03/2020 18:00;ITA;Toscana;91;40;131;129;260;56;3;1;264
10/03/2020 18:00;ITA;Umbria;8;2;10;27;37;9;0;0;37
10/03/2020 18:00;ITA;Valle d'Aosta;2;0;2;15;17;2;0;0;17
10/03/2020 18:00;ITA;Veneto;204;67;271;512;783;112;47;26;856
10/03/2020 18:00;ITA;Trentino Alto Adige;36;4;40;48;88;48;2;0;90
11/03/2020 17:00;ITA;Abruzzo;17;9;26;11;37;0;0;1;38
11/03/2020 17:00;ITA;Basilicata;1;1;2;6;8;1;0;0;8
11/03/2020 17:00;ITA;Calabria;10;2;12;5;17;6;2;0;19
11/03/2020 17:00;ITA;Campania;56;11;67;82;149;27;4;1;154
11/03/2020 17:00;ITA;Emilia-Romagna;745;104;849;739;1588;206;38;113;1739
11/03/2020 17:00;ITA;Friuli Venezia Giulia;16;5;21;89;110;10;10;6;126
11/03/2020 17:00;ITA;Lazio;67;18;85;40;125;34;19;6;150
11/03/2020 17:00;ITA;Liguria;74;34;108;73;181;53;5;8;194
11/03/2020 17:00;ITA;Lombardia;3852;560;4412;1351;5763;1489;900;617;7280
11/03/2020 17:00;ITA;Marche;212;66;278;183;461;85;0;18;479
11/03/2020 17:00;ITA;Molise;4;3;7;9;16;1;0;0;16
11/03/2020 17:00;ITA;Piemonte;319;75;394;86;480;48;0;21;501
11/03/2020 17:00;ITA;Puglia;38;4;42;29;71;18;1;5;77
11/03/2020 17:00;ITA;Sardegna;10;0;10;27;37;17;0;0;37
11/03/2020 17:00;ITA;Sicilia;23;1;24;57;81;21;2;0;83
11/03/2020 17:00;ITA;Toscana;87;54;141;173;314;56;5;1;320
11/03/2020 17:00;ITA;Umbria;7;5;12;32;44;9;2;0;46
11/03/2020 17:00;ITA;Valle d'Aosta;2;0;2;17;19;3;0;1;20
11/03/2020 17:00;ITA;Veneto;262;68;330;610;940;167;54;29;1023
